ID,Query,Job Title,Description
504,Data Analyst,LiDAR Data Analyst,"Applicants selected will be computer savvy and have the ability to adapt and quickly learn how to use new software tools and approaches to enable you to complete work in an efficient manner. The ideal candidate will be familiar with data processing for LiDAR, and digital imagery, have a basic understanding of geodesy, surveying, and data transformations and LiDAR classification software. Strong commitment to quality. Highly motivated with a desire and aptitude for learning. Positive attitude with good communication and interpersonal skills."
505,Data Analyst,Junior Data Analyst,"We have a product that is changing how brands, agencies and networks measure and assess the impact of TV advertising campaigns. Our software uses proprietary audio and video analysis to monitor and extract TV commercials, movie trailers and other promotional content from TV. At the same time, our software analyzes consumer interactions with TV ads on the digital screen across search, video and social. Interactions are matched with specific ads and attributed back to airings on TV. Our platform collects and analyzes massive amounts of data in real-time. This is a rare opportunity to get equity in the early stages of a company with significant early traction and which is run by an experienced team. We are looking for someone that is highly motivated and knows how to get things done quickly and efficiently. We are seeking a talent who will share our obsession for data accuracy; someone with an insatiable appetite for learning new things and accomplishing challenging goals in a fast-paced (and not always structured) environment. Responsibilities: Understand, inside and out, all data streams collected, calculated, and attributed by iSpot. Use our in-house tools to provide quality assurance for ads and their metadata. Communicate bugs and alerts to Engineering teams, Customer Success, and management. Interest in learning SQL to query against MySQL and Redshift schema for quality assurance purposes. Besides being highly motivated and valuing the significant equity opportunity, we are looking for someone who has: Strong attention to detail. Experience with Excel. The ability to work quickly and efficiently with minimal supervision. Strong communication skills. The ability to multi-task and work well under deadlines in a changing environment. Strong interest in building their analytics skills using SQL, Tableau, and Excel. Ability to work an adjusted Tuesday-Saturday schedule. Passion for data accuracy."
506,Data Analyst,"Analyst, Data","Job Summary Support our client-dedicated team in data management areas including, but not limited to Occupancy, Transactions and Project reporting. Job Responsibilities Reporting Preparation and analysis of regular and ad-hoc reports Revisions to existing reports Coordination and acceleration of a global building list and associated attributes Performance Management Support operational analysis and performance to ensure flawless execution Work closely with and support Account Leadership and Clients (internal & external) in implementing reporting routines to ensure seamless and timely service delivery Follow up with data owners on a periodic basis to improve data quality Support Data Management Program Managers to enable work on high priority initiatives Client Service/Satisfaction Develop and maintain positive client relationships Develop and maintain positive team relationships Any and all other duties and tasks assigned LI _JLL Is an Equal Opportunity Employer_ _JLL is committed to developing and maintaining a diverse workforce. JLL strongly believes in equal opportunity extended to all individuals in all aspects of the employment relationship, including recruitment, hiring, training, promotion, transfer, discipline, layoff, recall and termination without regard to race, color, religion, belief, creed, age, sex, pregnancy or maternity (including childbirth and related conditions), family responsibility (e.g. child care, elder care), nationality, ethnic or national origin or ancestry, citizenship, marital status, civil partner status, sexual orientation, gender identity or expression, transgender status, veteran’s status, genetic information, trade union membership, social position, political view or status as a qualified individual with a disability, protected leave status or any other protected characteristic in accordance with applicable law. The company also endeavors to make reasonable accommodations for known physical or mental limitations of otherwise qualified employees and applicants with disabilities unless the accommodations would impose an undue hardship on the operation of our business and ensures that employment decisions are based only on valid job requirements._ _For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy at_ _https://jll2.sharepoint.com/CorporatePolicies/HR%20Policies/Equal%20Employment%20Opportunity%20and%20Affirmative%20Action.pdf_ _._"
507,Data Analyst,Inventory Data Analyst,"Company Information PACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture and customer support of high-quality light-, medium- and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates. PACCAR designs and manufactures advanced diesel engines and also provides customized financial services, information technology and truck parts related to its principal business. Whether you want to design the transportation technology of tomorrow, support the staff functions of a dynamic, international leader, or build our excellent products and services — you can develop the career you desire with PACCAR. Get started! Division Information PACCAR Parts PACCAR Parts is the global provider of aftermarket parts and services to support Kenworth, Peterbilt, DAF and TRP dealers around the world.This includes 18 distribution centers globally that support 2,200 dealerships and over 1,000,000 customers.Aftermarket support includes world class customer centers that deliver industry leading uptime in conjunction with our outstanding supply chain that delivers record levels of inventory availability for dealers and customers. Requisition Summary The MDI Data Analyst improves dealer inventory and service levels by assisting Managed Dealer Inventory (MDI) Analysts and Managers through daily planning system maintenance, retail forecasting and support activities. Develop and prepare ad hoc reports distributed to senior management. Job Functions / Responsibilities Modify and maintain information in MDI system as directed by MDI Analysts as related to part number maintenance per dealer Generate monthly reports, analyze output data, verify accuracy, and research outliers Research, compile and/or develop necessary data and information required for department business processes and control Work on special projects as assigned Assist in development, implementation and monitoring of dealer Recommended Stocking Lists (RSL) Provide data and reporting support to MDI Analysts using the forecasting system Qualifications Bachelors degree in business or analytical field required Self-directed individual able to address multiple priorities within a dynamic and technical environment Ability to make decisions and use judgment/take action independently Ability to use interpersonal skills and work as a team member Ability to perform some advanced level math (data and/or number manipulation) Spanish or French language skills are a plus Familiarity with advanced inventory planning systems (Manugistics /JDA) beneficial but not required Strong writing and PC skills (MS Word/Excel/Access) Additional Job Board Information PACCAR is an Equal Opportunity Employer/Protected Veteran/Disability."
508,Data Analyst, Data Analyst 1,"Data Analyst 1 - 351278 Overview Join our team of dedicated analysts and engineers as we design, build, and maintain a suite of BI Tools and Dashboards designed for insight. Our ideal candidate can think strategically about the needs of the business, maintain productive relationships with a diverse array of stakeholders, and bring experienced focus to the areas of automation, scalability, and actionable intelligence. Do you enjoy tactical challenges and a collegial environment? Are you into data visualization, cloud services, and process optimization? Come join a fun and dedicated team as we innovate the data-driven heart of a great company. Responsibilities Design, build, manage, and evolve a suite of Tableau Dashboards and other self-service tools for our key stakeholders. Partner with Business teams to understand their analytics needs and look for opportunities to enhance our product offering. Collaborate with other BI Analysts and Engineers to develop data/table structures in both on-prem and cloud-based data stores, optimizing for Tableau Dashboards and other self-service needs. Offer strategic guidance to both analysts and business teams on how to best leverage our tools. Maintain efficient QA processes to ensure the accuracy and quality of data. Provide exceptional customer service through professionalism, ownership and initiative. Desired Skills and Experience 1+ year of experience building advanced Tableau Dashboards for ongoing measurement and self-service needs preferred. 1+ years of e-commerce or marketing experience preferred. 1+ years of SQL experience required (PostgreSQL and Teradata SQL preferred). Ability to think strategically and assess key stakeholder requests. Ability to derive concise and actionable results from large volumes of data (AWS/Redshift experience preferred). Demonstrated ability to QA reporting process to ensure data integrity and accuracy. No visa sponsorship is available for this position, and no relocation assistance is provided for this position. Since 1901, Nordstrom has offered a wide variety of quality apparel, shoes and accessories for men, women and children at our stores across the country. We're proud to be named to Fortune™ magazine's list of '100 Best Companies to Work For.' We believe this recognition comes from our desire to empower our employees to set their sights high and deliver exceptional service to customers. As a Nordstrom employee, you can feel confident that your health and well- being are among our highest priorities. We offer a comprehensive, flexible employee benefits package that includes medical/vision and dental coverage, a generous merchandise discount, an employer-matched 401(K) savings and profit sharing plan and much more. _We are an equal opportunity employer committed to providing a diverse environment._ The above information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job. LI-KF1 Job : Analytics Date Posted : 07/23/2018, 3:45:31 PM Location : United States-Washington-Seattle"
509,Data Analyst,Atmospheric Data Analyst,"Organization and Job ID Job ID: 308075 Directorate: Earth and Biological Sciences Division: Atmospheric Sciences and Global Change Group: Atmospheric Measurement and Data Sciences Job Description Pacific Northwest National Laboratory (PNNL) is recruiting an early career scientist interested in developing new scientific insights into the initiation, organization, dynamics, and microphysics of convective cloud populations. You will be expected to work as part of a team of scientists investigating convective clouds, with a long-term goal of using new observational, theoretical and modeling insights to improve representation of convection and microphysical processes in both high resolution regional and global models. Specifically, you will be expected to apply modern statistical and computational methods to analyze large data-sets from observations (e.g. radar, satellite) and models (LES, regional-scale, global climate) to understand cloud-environment interactions that lead to convective transitions. Two-way interactions of microphysical processes with convective circulations such as updrafts, downdrafts, and cold pools on fine spatiotemporal scales are of particular interest. The ability of multi-scale models and variable complexity physics parameterizations to capture observed cloud and environmental processes will be critical in predicting the convective life cycle. You will identify sources of model biases through innovative model sensitivity experiments design and evaluation. An ability to analyze large observational (e.g. radar, satellite) and model (LES, regional-scale, global climate) datasets and to pose hypotheses that tease out new insights from the large datasets is critical. Using data assimilation techniques to constrain environmental conditions in models and better represent cloud distributions is desirable. In collaboration with others on the team, you may also contribute to analyzing the ability of models to reproduce the observed impacts of convective clouds and precipitation on surface properties, aerosol redistribution, and boundary layer evolution with feedbacks to subsequent convective cloud development. Minimum Qualifications BS/BA with 2 yearsâ€™ experience, MS/MA with 0 yearsâ€™ experience, PhD with 0 yearsâ€™ experience o Technical Expertise: Contributing professional who is building a professional reputation for technical expertise. Fully applies and interprets standard theories, principles, methods, tools and technologies within specialty. o Level of Responsibility: Independently completes recurring assignments. Exercises limited judgment on work details. Makes preliminary selections and adaptations of technical alternatives. o Breadth of Technical Knowledge: Continues developing technical expertise and knowledge. Develops new skills. Preferred Qualifications PhD 2 yearsâ€™ experience. Preference will be given to candidates with: o Experience in understanding, modifying, debugging, and running code for cloud-system resolving models (e.g., WRF) o Experience analyzing cloud/precipitation measurements, notably from radars (e.g., understanding radar measurements and using radar software such as Py- ART), satellites (e.g. GOES, MODIS, TRMM), and cloud-resolving (LES) and cloud-system resolving models o Familiarity with high performance computing, and statistical analysis o Expertise in convective meteorology (e.g., relevant environmental conditions and nature of convective dynamics and microphysics) o Experience with analysis of large datasets and efficient computation, including parallel processing and machine learning. o Experience in data assimilation techniques and practical application in mesoscale models o Experience with computational environments (Linux/Unix), computer languages (Fortran, Python, etc.), and analysis tools (R, NCL, Matlab, IDL, etc.) usually used for atmospheric modeling o Strong communication skills Equal Employment Opportunity Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov. _Directorate: _ _Earth & Biological Sciences_ _Job Category: _ _Scientists/Scientific Support_ _Group: _ _Atmospheric Measur & Data Sci_ _Opening Date: _ _2018-07-06_ _Closing Date: _ _2018-10-02_"
510,Data Analyst, Program Data Analyst,"Position Summary: Guided by MDC’s mission, vision, and values, the Program Data Analyst (PDA) takes a people-centered approach in working with staff to better understand and communicate the stories that can be told through data. The PDA skillfully uses database applications and data tools to implement high quality solutions for data collection, analysis, and reporting. All efforts in this position are in service of continual improvement at MDC so that we may get the best possible results for the people we serve. As such, it is important that the person in this position have a commitment to diversity, equity, and inclusion and an awareness of potential biases that can impact decisions made in the process of identifying relevant data, as well as the collection and analysis of that data. Essential Duties and Responsibilities: Thoroughly learn MDC’s database application(s) and stay up-to-date on that knowledge through participation in user groups, training, etc. Continually review structure of the database application(s) to ensure it serves the purpose intended for capturing and reporting data. Periodically audit the structure of the database application(s) for quality of data and timeliness of data entry, with clear communication with managers about the results. Train staff and create a manual and/or informative materials to support users on your organization’s configuration of the database application(s). Ensure compliance reporting reflects what’s required for mandatory agency reporting. Design reports and queries or determine which standard reports best provide the necessary information to determine if the database application(s) is/are being used effectively. Maintain appropriate user access to the database application(s) Integrate the duties of the users with the needs for internal performance management reporting and external funder reporting. Along with managers, communicate this through continuous training and review. Adjust periodically if review shows breakdown in the alignment. Effectively manage continual change Create and maintain comprehensive documentation Maintain a high degree of professional standards and participates as a team player Other duties as assigned Qualifications and Experience: Bachelor’s degree in related field and/or 2 years of experience related to the design and maintenance of database applications. Extensive verbal and written communication skills Strong decision making skills Extensive understanding of time and task management Seasoned Analytical skills with strong attention to detail. Knowledge of industry best practice Understanding of Principles of Project Management Ability to manage multiple projects simultaneously, meet timelines, and produce high quality results. Desired Qualifications: Experience with Efforts to Outcomes (ETO) Experience with SAP Business-Objects and Crystal Reports or related technologies KNOWLEDGE AND SKILLS: Knowledge of database structure and design Critical-thinking and problem-solving Analytical and systems thinking Strong computer user skills Embracing Change and Managing Ambiguity"
511,Data Analyst, Admin Assistant / Data Analyst,"MISSION: EvergreenHealth Monroe will advance the health of the community it serves through our dedication to high quality, safe, compassionate, and cost- effective health care. Administrative Assistant / Data Analyst POSITION SUMMARY: This is a unique role that provides support to the Quality department by assisting in organizing and coordinating schedules, activities, classes, and meetings. Will support committees, by preparing agendas, background material, attending meetings, taking notes and creating/distributing minutes. Assist in data collection and analysis, by collecting, preparing and analyzing all data and information for safety and operations improvement initiatives. The Admin Assistant/Data Quality Analyst will maintain reports for all data collected and manage data bases to obtain information. Responsible for data collection deadlines as set forth from various regulatory, accreditation, and national agencies. EXPERIENCE: Minimum of two years of clerical experience in healthcare. BS or BA preferred with strong Microsoft Office application skills, specifically managing a database, report generation, and statistical compilation. Requires above average computer skills and preferred medical terminology knowledge. SKILLS: Excellent written and verbal communication skills; interpersonal and organizational skills. Efficiently and effectively organize, plan, document, and assist in facilitation and evaluation of various teams, projects, and committees. Gather and track data and information, analyze and present data. Communicate effectively verbally and in writing. Must be versatile, cooperative, self-motivated and have good customer service skills. Adapt to a flexible work schedule to include early morning, or later in the day meetings and/or activities, to include an occasional weekend. Demonstrated ability to handle confidential information and conduct job functions in a professional manner."
512,Data Analyst, Central Procurement Office Data Analyst,"PURPOSE: Provide subject matter expertise for business intelligence, advanced analytics, financial data and advanced reporting for Central Procurement office and Economic Development division. ESSENTIAL FUNCTIONS: _This list is ILLUSTRATIVE ONLY, and is not a comprehensive listing of all functions and duties performed. Essential duties and responsibilities may include, but are not limited to, the following:_ Data Mining, Analysis & Visualization: Design, build, optimize and maintain custom, advanced Business Intelligence (BI) solutions to effectively deliver information to the business. Deliver and maintain best practices in data acquisition, data integration, data visualization, optimization and implementation of BI solutions. Predictive Analytics: Develop innovative statistical models to using structured and unstructured multi-dimensional data sources to detect patterns and behaviors. Project Management: Manage multiple concurrent projects involving data visualization, data gathering, data mining and auditing. Market Research Analytics: Continuously research best practices and data trends to incorporate and improve the standard of reports. Education & Outreach: Providing technical support the Executive Leadership Team and other port departments. Educating contractors and vendors on submission process for sub-contractor SBE (Small Business Enterprise) data and impact of accurately reporting data. Data Validation/Auditing: Auditing databases for inaccurately entered vendor information. KNOWLEDGE, SKILLS & ABILITIES: Knowledge Excel, Database, PowerPoint: Must have knowledge of developing excel based tools and other database or data management systems. Must have strong skills developing and utilizing PowerPoint to communication with leadership. Analytical Tools: Relational databases, advanced statistical methodology, forecasting techniques, database design best practices and information design. Knowledge of advanced analytical techniques including data mining, visualization and segmentation. Skills/Abilities Strong communication (written, verbal): Ability to communicate formally and informally with individuals throughout the Port and our external stakeholders. Be persuasive and influence decision-makers. Must be able to communicate complex analytical topics in clear, concise way to senior decision makers. Critical Thinker: Must be skilled in critical thinking, problem-solving (e.g., working effectively in a multi-stakeholder environment), assumption- and data-driven analytics (ability to gather, analyze, and synthesize complex data to inform procurement execution, negotiations, and process improvement), building analytical tools (e.g. excel, tableau, models, sql queries, etc). Analytical capabilities: Must be able to take creative approaches to solving challenging, ambiguous problems. Ability to gather, analyze, and synthesize complex data to inform procurement strategy and develop negotiation plan. Strong computer skills and data management skills. Must be able to translate analytical output into actionable recommendations. The role requires the ability to think critically about overall port needs and each procurement (i.e., there is no ""one-size fits all"" solutions). Self-starter & strong interpersonal skills: Ability to collaborate closely with individuals from many different function. Must be a self-starter and comfortable pushing people out of their comfort zone (i.e., will be working in a role that has never existed before and will require other Port staff to think in new ways). Cultivates relationships: Is a team builder. Customer service mindset with internal and external customers. Change management: Understanding of developing process improvements and skill to develop and deliver on process improvements. Competent in identifying issues and delivering sustainable decisions and solutions to problems. QUALIFICATIONS: _Combination of education and experience demonstrative knowledge, skills and abilities equivalent to:_ Bachelor’s degree in Business, Computer Science, Quantitative Analytics or related field; and Four (4) years of experience quantitative problem solving and data visualization. PREFERRED QUALIFICATIONS: Master’s Degree in Business, Economics or related field; and Seven (7) years of experience in quantitative problem solving and data visualization."
513,Data Analyst,Data Analyst,"Job Title: Data Analyst Location: Seattle, WA Description 5 – 6 years of minimum experience Able to communicate insights to business stake holders with varying degrees of technical understanding Familiarity with MSBI stack & Azure services - preferred Experience with building dashboards in Tableau/ Power BI – Preferred Experience in SQL and handling large amount of data- Mandatory Experience with Power Pivot – Preferred Self-starters who can work independently Experience with predictive modelling – Preferred Primary Location : US-WA-Seattle Job : Data Analyst Organization : Brillio LLC United States BU Day Job Job Posting : Jul 25, 2018, 7:30:20 PM"
