ID,Query,Job Title,Description
3167,Machine Learning,Voice Over Artist (Remote),"About The Position Wibbitz is in hyperspeed growth mode and we’re looking for amazing talent to join our team. Wibbitz is changing the video landscape by empowering storytellers to create original videos that people love, quickly, easily and at scale. The Wibbitz platform’s patented text-to-video technology leverages AI capabilities like machine learning and natural language processing to power video for the world’s biggest brands including Bloomberg, CBSi, Reuters, USA Today, and Forbes. We have been featured in TechCrunch, New York Times, Adweek and MediaPost, where you can learn more about our recent funding and our industry leading technology! Role We’re looking for a Voice Over Artist who is versatile and able to record in multiple tones of voice, or with various accents for short-form video content across many different platforms. The artist must be flexible with turnaround times for the company’s international customers and able to record and send within 12 hours of receiving a voice over request. This position will report to the Supervising Producer and be responsible for fulfilling the voice over requests submitted by our customers from around the world. Requirements On-call availability"
3168,Machine Learning, Machine Learning,"Who We Are: Cortex is a team of software engineers, data scientists, and research scientists dedicated to developing state-of-the-art machine learning capabilities to refine and transform our products. Twitter is the heartbeat of the world: it is the only platform that offers insight into everything that is happening live. Our challenge: content that's posted on our platform is very rich, and our users' interests very diverse. Machine learning can help us connect users to the right content, and improve the quality of our products. Who You Are: You have a passion for machine learning and improving the ways people consume the world, live. You are excited to join an incredibly talented, and fun team which loves to take on new challenges. You like a fast-paced & fun environment, believe in Twitter’s mission in the world and want to be a core actor in pushing it forward. What You’ll Do: You will work with our team of experts in machine learning and software engineering to build powerful and scalable models and surface the most relevant content on Twitter. Come help us make Twitter the best place for finding what the world is saying, live! Requirements: Expertise in Deep Learning and NLP Experience with software engineering best practices MS or PhD in machine learning or equivalent work experience Desired: Experience using big data platforms such as Spark or Hadoop"
3169,Machine Learning, Machine Learning Annotator - Center of Excellence,"The Data Analytics team at JPMorgan Corporate & Investment Bank combines cutting edge machine learning techniques with the company’s unique data assets to optimize all the business decisions we make. In this role, you will be part of our world-class data analytics team, and advance the state-of-the-art in financial applications ranging from pricing and credit models to natural language processing to the various asset classes in the Corporate & Investment Bank. Our work spans the Corporate Investment Bank’s lines of business, with exceptional opportunities in each. The successful candidate will assess the business needs, define the problem statement and shape the data analytics deliverables. The job will require understanding of data analytics methods to banking applications including risk assessment, trading, client relationship management, and pricing models. Responsibilities Identify and apply business knowledge to develop scalable machine learning applications in JP Morgan Corporate & Investment Bank by line of business: Global Research, Global Investment Banking and Global Markets Structure and work on projects or programs (i.e., multiple related projects) to deliver the book of work, including building of an effective roadmap towards the creation of training data and validation of results of a production-level machine learning application BA and/or master’s degree 6-10 experience in the role of business analyst /data analyst Understanding of various data analytics approaches (e.g., anomaly detection, prediction, natural language processing and auto decision making) will be required Should be able to work both individually and collaboratively across various teams in the front office, technology and operations, in order to achieve project goals Must be curious, hardworking and detail-oriented, and motivated by complex analytical problems and genuinely interested in the data analytics techniques Ability to collect, organize and maintenance of working level domain knowledge on machine learning projects. Should be able to conduct research and bring clarity in business definitions and concepts Must be able to sift through structured and unstructured documents of varied length; identify the right content and annotate with the appropriate label. Ability to identify the right label(s) from the complex business language will be required Ability to create training sets for machine learning models from structured and unstructured data Ability to understand and define the relationship among labelled entities in unstructured documents Should be able to create output validation data sets aligned with the objective of the model Should be able to validate model results from business perspective and provide feedback for the improvement on the model. (Manual and semi-manual validation) Understanding of model scoring parameters such as precision, recall and f-score Ability to create and maintain the business level ground truths across multiple projects Ability to interpret machine learning output with reference to the business objective Must be able to effectively communicate machine learning concepts and results to both technical and business audiences Beneficial Skills Background in Mathematics, Statistics or Financial Engineering Basic understanding of machine learning approaches such as supervised learning, unsupervised learning and reinforcement learning Experience with big-data technologies such as Hadoop, Spark, SparkML, etc. is a plus Familiarity with basic data table operations (SQL, Hive, etc.)"
3170,Machine Learning,"Software Engineer, Machine Learning","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward. Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another. Responsibilities Participate in cutting edge research in artificial intelligence and machine learning applications. Develop solutions for real world, large-scale problems. Qualifications Minimum qualifications: BA/BS degree in Computer Science or related technical field or equivalent practical experience. 2 years of work or educational experience in Machine Learning or Artificial Intelligence. 1 year of relevant work experience in software development. Experience with one or more general purpose programming languages including but not limited to: Java, C/C++ or Python Preferred qualifications: Experience with one or more of the following: Natural Language Processing, text understanding, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar. At Google, we don’t just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know. To all recruitment agencies: Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other company location. Google is not responsible for any fees related to unsolicited resumes."
3171,Machine Learning,Machine Learning Modeling Engineer,"Corning is one of the world’s leading innovators in materials science. For more than 160 years, Corning has applied its unparalleled expertise in specialty glass, ceramics, and optical physics to develop products that have created new industries and transformed people’s lives. Corning succeeds through sustained investment in R&D, a unique combination of material and process innovation, and close collaboration with customers to solve tough technology challenges. Corning's Manufacturing, Technology and Engineering division (MTE) is recognized as the leader in engineering excellence & innovative manufacturing technologies by providing diverse skills to Corning’s existing & emerging businesses. We anticipate & provide timely, valued, leading edge manufacturing technologies and engineering expertise. We partner with Corning’s businesses and the Science & Technology division. Together we create and sustain Corning’s manufacturing as a differential advantage. Scope of Position: Subject Matter Expert providing data analytics and machine learning modeling software development support to create novel computational methods and produce analytical models from available research & manufacturing data and to enable the company to effectively innovate and to enhance competitive advantage of Corning products. Day to Day Responsibilities: Work independently or as part of the team on data preparation, machine learning software development & modifications, model development, model testing and to allow models to be used by internal customers. Interpret data analysis results in RD&E or business context, and articulate the implications of the results to the business function. Write and maintain relevant support documentation. Prepare and deliver relevant user training. Travel Requirements: Individual may travel multiple times per year for one to two weeks per visit to other Corning locations or customers (domestic and international) or to pursue training opportunities (conferences, classes). Hours of work/work schedule/flex-time: Mon-Fri, regular business hours 8h/5d; Required Education: MS or PhD in computer science, mathematics or related discipline with specialization in data analytics & machine learning. Required Years and Area of Experience: 1+ year of work experience in similar field, analytical software development or modeling experience and positive customer interactions. Required Skills: Strong mathematical and programming skills and capability for independently preparing data (ETL functions of cleaning, consolidating, transforming data) for machine learning purposes. Working knowledge of programming in Python. Working knowledge of mathematical and statistical computing programming languages (MATLAB, R). Knowledge of any other programming languages for scientific computing in Windows and Linux environments (such as C/C++, Fortran). A foundation in software design principles and an ability to design and create code as necessary. Comfortable working with Linux and Windows parallel processing clusters. Deep knowledge of artificial neural networks with experience building accurate time series & sequential event models with recurrent neural networks and/or reinforcement learning algorithms. Ability to communicate with and understand the complex requirements of scientists, engineers and professional staff in the development and deployment solutions. Desired Skills: Knowledge of machine learning libraries (such as Theano, Tensor Flow, Keras). Knowledge of data mining suites (such as Weka or RapidMiner). Background in Natural Language Processing. Experience compiling and running codes on high-performance computers. Knowledge of MPI, OpenMP, or other parallel/distributed computing paradigms. Ability to analyze, optimize and debug scientific codes. Experience working with cloud-based services such as AWS and Azure. Soft Skills: Strong interpersonal and communication skills and ability to work as a team player or independently are required. Must be a proactive and solution-oriented problem solver. Ability to undertake multi-projects. Ability to bridge gaps between “domain” language (engineering, science) and “computing solution” language. Customer focused. Proven ability to embrace and drive change. Clear dedication to excellence and advancing beyond the current state. Strong personal motivation. We prohibit discrimination on the basis of race, color, gender, age, religion, national origin, sexual orientation, gender identity or expression, disability, or veteran status or any other legally protected status."
3172,Machine Learning,"Software Engineer, Machine Learning","Are you an engineer who’s interested in tackling very challenging adversarial problems and passionate about defending online users against abuse, spam, and manipulation? Do you love working on challenging problems that require a multi-disciplinary approach, creative solutions, and rapid product iterations? Will you be proud to work on a real-time, scalable system that serves millions of users daily? If so, you should join us. Who We Are The Health ML engineering team is responsible for building scalable detection systems that keep spam, manipulation, and abuse at bay. We use ML and relevance techniques to make Twitter safer and to limit the spread of misinformation on the platform. Our team works across the product to detect abusive and spammy users and content, increase action on bad actors, drive changes in user behavior, and detect and remediate accounts that are violating the terms of service on Twitter. We develop, maintain, and contribute to several machine learning models and systems, including: Models that detect unwanted interactions Models to prioritize human review of accounts violating Twitter's policies to more quickly take action and limit their damage Detection of bots that misuse the platform or spread misinformation Detection of repeat abusive offenders who create new accounts after being suspended Real-time rule engines and clustering systems to identify and action on clusters of bad actors at scale What You’ll Do Although you will work on cutting-edge problems, this position is not a pure research position. You will participate in the engineering life-cycle at Twitter, including designing distributed systems, writing production code, conducting code reviews and working alongside our infrastructure and reliability teams. You’ll apply data science, machine learning, and/or graph analysis techniques to a variety of modeling and relevance problems involving users, their social graph, their tweets, and their behavior. Who You Are You’re a relevance engineer, applied data scientist, or machine-learning engineer who wants to work on exciting algorithmic and deep infrastructure issues to improve the health of the public conversation on Twitter. You’re experienced at solving large scale relevance problems and comfortable doing incremental quality work while building brand new systems to enable future improvements. You are knowledgeable in one or more of the following: machine learning, information retrieval, recommendation systems, social network analysis. You are a strong technical advocate with a background in Java, C++, or Scala, and Python. You strive to find the right balance between moving fast to deliver quality improvements to users and accumulating technical debt that drags down productivity. You have a collaborative working style with a strong focus on disciplined execution and results. You like to ground decisions in data and reasoning and solve root causes of problems rather than surface issues. You are adept at communicating relevant information clearly and concisely. You look ahead to identify opportunities and thrive in a culture of innovation. _Here’s all the legal good stuff:_ _We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status._ _San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records._"
3173,Machine Learning, Recruiting Coordinator Lead,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started. Facebook is seeking a Recruiting Coordinator Lead to join the Facebook University Recruiting team and manage our operational Software Engineering (SWE) and PhD (Facebook AI Research, Applied Machine Learning, and Machine Learning) hiring efforts. This individual will play an integral part in guiding a dynamic and highly skilled team of Recruiting Coordinators to ensure that best practices are in place to provide an innovative, first class candidate experience and quality support to our UR team. In addition, the Recruiting Coordinator Lead will collaborate with recruiting leads on project initiatives to streamline our interview process as it relates to creating a delightful, best-in-class experience for every candidate. RESPONSIBILITIES Review, create and implement a signature candidate experience at scale across our University Recruiting teams Build effective partnerships with the client groups and recruiting leadership to support current and future requirements Lead and develop project initiatives to streamline our interview process, as it relates to the candidate experience Support a team of recruiters with the objective of efficiently and successfully scheduling high-volume interview activity Manage Recruiting Coordinator team within University Recruiting Hire, onboard and train Recruiting Schedulers & Coordinators, as needed Plan and recommend resource alignment and workload across the SWE Coordinator Team Lead and develop innovative, scalable solutions that improve efficiency across the Coordinator Team MINIMUM QUALIFICATIONS 2+ years experience coordinating interview schedules 1+ years experience managing project initiatives and driving operational efforts Experience in developing and improving processes Experience prioritizing and managing workload Knowledge of Facebook products and business PREFERRED QUALIFICATIONS 1+ years experience leading teams, empowering employees, developing capability and driving change in a fast-paced, constantly evolving environment"
3174,Machine Learning,"Instagram - Software Engineer, Machine Learning","Over a billion people use Instagram, which means jobs here offer countless ways to make an impact in a fast growing organization. Instagram was built to connect people to the people and interests they love. Our app has played a critical part in forming meaningful communities where people can connect with each other and share what matters most to them. Instagram is seeking Machine Learning Engineers to help build and optimize our rapidly growing network. Our mission at Instagram is to strengthen relationships through shared experiences. The ideal candidate will have industry experience working on a range of classification and optimization problems, e.g. click-through rate prediction, click-fraud detection, image recognition, search ranking, text/sentiment classification, collaborative filtering/recommendation, or spam detection. If you are excited about building great product and pioneering new uses for machine learning, come join us in our New York City office. RESPONSIBILITIES Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models Suggest, collect and synthesize requirements and create effective feature roadmap Apply expert software development skills to a wide range of ML-related coding projects Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU) MINIMUM QUALIFICATIONS MS degree in Computer Science or related quantitative field with 5+ years of relevant experience or Ph.D degree in Computer Science or related quantitative field Experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, large-scale data mining or artificial intelligence. Proven ability to translate insights into business recommendations Experience with Hadoop/Hbase/Pig or MapReduce/Sawzall/Bigtable Knowledge in developing and debugging in C/C++ and Java Experience with scripting languages such as Perl, Python, PHP, and shell scripts Experience with filesystems, server architectures, and distributed systems"
3175,Machine Learning,"Software Engineer, Machine Learning","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started. Facebook is seeking Machine Learning Engineers to join our engineering team. The ideal candidate will have industry experience working on a range of classification and optimization problems, e.g. payment fraud, click-through rate prediction, click-fraud detection, search ranking, text/sentiment classification, collaborative filtering/recommendation, or spam detection. The position will involve taking these skills and applying them to some of the most exciting and massive social data and prediction problems that exist on the web. RESPONSIBILITIES Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models Suggest, collect and synthesize requirements and create effective feature roadmap Code deliverables in tandem with the engineering team Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU) MINIMUM QUALIFICATIONS MS degree in Computer Science or related quantitative field or Ph.D degree in Computer Science or related quantitative field 5+ years of experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence Proven ability to translate insights into business recommendations Experience with Hadoop/Hbase/Pig or MapReduce/Sawzall/Bigtable Knowledge developing and debugging in C/C++ and Java Experience with scripting languages such as Perl, Python, PHP, and shell scripts PREFERRED QUALIFICATIONS Experience with filesystems, server architectures, and distributed systems"
3176,Machine Learning,Quantitative Researcher in Machine Learning,"At Two Sigma, we’re different from other investment firms. Founded by a statistician and a computer scientist, our approach is systematic and diversified. The global markets fuel our imagination with unlimited information to study, countless efficient ways to take action and meaningful opportunity to improve by iteration. We draw ideas and inspiration from the broader math, science, and investment communities. When you work with us, you get to tackle tough problems alongside other scientists and engineers. People who will challenge your ideas. Who you can really learn from, and collaborate with. And you’re doing work that matters to a lot of people, too. Our investors include some of the world’s largest retirement funds, research institutions, educational endowments, healthcare systems and foundations. We admire what they do, and we’re proud to work with these organizations. WHAT YOU'LL DO As a quantitative machine learning researcher, you will: Use a rigorous scientific method to develop sophisticated trading models and shape our insights into how the markets will behave Apply machine learning to a vast array of datasets Create and test complex investment ideas and partner with our engineers to test your hypotheses All the while, you’ll get to stay engaged in the academic community. As examples, you can: Join our reading circles to stay up to date on the latest research papers in your field Attend academic seminars to learn from thought leaders from top universities Share insights from conferences focused on statistics, machine learning, and data science WHAT WE ARE LOOKING FOR You’ll do best in this role if you: Have a degree in a technical or quantitative discipline, like statistics, mathematics, physics, electrical engineering, or computer science (all levels welcome, from bachelor’s to doctorate) Possess intermediate skills in at least one programming language (like C, C++, Java, or Python) Understand the ins and outs of machine learning algorithms—and can tweak them as needed Applied machine learning to real-world datasets Are an independent thinker who can creatively approach data analysis and communicate complex ideas clearly Published your work in journals and/or have presented at conferences You don’t need a background in finance. It’s nice to have, but more than half of Two Sigma’s employees come from outside the finance industry. If you’ve got the quantitative skills, we will teach you the financial aspect of the job. READY TO APPLY? If this sparks your interest, let’s connect."
